1,аба,3
2,аби,3
3,ава,3
4,ага,3
5,ада,3
6,аир,3
7,ајс,3
8,ака,3
9,ако,3
10,акт,3
11,ала,3
12,але,3
13,али,3
14,ало,3
15,алт,3
16,ама,3
17,ами,3
18,апе,3
19,апо,3
20,апс,3
21,ара,3
22,арм,3
23,аро,3
24,арч,3
25,асе,3
26,аут,3
27,аух,3
28,аха,3
29,аџи,3
30,бае,3
31,баз,3
32,бај,3
33,бал,3
34,бам,3
35,бан,3
36,бар,3
37,бас,3
38,бат,3
39,бау,3
40,бач,3
41,баш,3
42,беа,3
43,бев,3
44,бег,3
45,беж,3
46,без,3
47,беј,3
48,бек,3
49,бел,3
50,бес,3
51,беџ,3
52,бие,3
53,бик,3
54,бил,3
55,бип,3
56,бир,3
57,бис,3
58,бит,3
59,бич,3
60,бла,3
61,боа,3
62,боб,3
63,бог,3
64,бод,3
65,боз,3
66,бои,3
67,бој,3
68,бок,3
69,бол,3
70,бон,3
71,бор,3
72,бос,3
73,бот,3
74,бош,3
75,бре,3
76,брз,3
77,був,3
78,буи,3
79,бум,3
80,буп,3
81,бут,3
82,ваа,3
83,вај,3
84,вам,3
85,ван,3
86,вар,3
87,вас,3
88,ват,3
89,ваш,3
90,веб,3
91,вее,3
92,вез,3
93,век,3
94,вел,3
95,вет,3
96,виа,3
97,вид,3
98,вие,3
99,виј,3
100,вик,3
101,вин,3
102,вир,3
103,вис,3
104,вит,3
105,виц,3
106,виш,3
107,воа,3
108,вод,3
109,воз,3
110,вој,3
111,вок,3
112,вол,3
113,вон,3
114,врв,3
115,врз,3
116,врл,3
117,врц,3
118,гад,3
119,гал,3
120,гас,3
121,гаф,3
122,гег,3
123,гел,3
124,гем,3
125,ген,3
126,гиф,3
127,гну,3
128,год,3
129,гои,3
130,гол,3
131,гот,3
132,грб,3
133,грд,3
134,грк,3
135,грм,3
136,гро,3
137,грч,3
138,гус,3
139,даб,3
140,дал,3
141,дан,3
142,дар,3
143,два,3
144,две,3
145,ддв,3
146,дел,3
147,ден,3
148,диб,3
149,див,3
150,дим,3
151,дип,3
152,дни,3
153,днк,3
154,дно,3
155,дои,3
156,док,3
157,дол,3
158,дом,3
159,дон,3
160,дот,3
161,дрт,3
162,дуд,3
163,дуе,3
164,дум,3
165,дуо,3
166,дуп,3
167,дур,3
168,дух,3
169,ѓак,3
170,ѓел,3
171,ѓоа,3
172,ѓол,3
173,ѓон,3
174,ѓул,3
175,ѓум,3
176,ева,3
177,еве,3
178,ега,3
179,еге,3
180,его,3
181,еже,3
182,еја,3
